Contract,Function,Potential Bug,Risk Type,Notes
Fuel L2 Bridge,process_message(msg_idx),"message replay / duplicate mint if input-message lifecycle or reentrancy guard is bypassed","Replay / double-finalization","Checks L1 sender and uses reentrancy_guard; test nested process_message and same message input reuse"
Fuel L2 Bridge,_process_deposit,"deposit-to-contract with data can leave minted assets stuck if recipient process_message fails or handles funds unexpectedly","Deferred execution / resource leak","Source comment explicitly flags stuck-funds risk; test malicious receiver, revert receiver, partial receiver"
Fuel L2 Bridge,claim_refund,"refund accounting may mismatch original L1 deposit if overflow/refund path aggregates by from+asset only","Accounting / replay","Refund amount is reset before send_message; test multiple failed deposits, claim ordering, same token_id"
Fuel L2 Bridge,withdraw,"burn-before-message withdrawal can create stuck withdrawal if L1 message is not finalizable or encoded recipient/token metadata is wrong","Deferred finalization / resource lifecycle","Burns L2 asset and sends L1 unlock message; test bad token metadata and recipient zero checks"
Fuel ERC20 Gateway V4,_deposit,"sendMessage happens before safeTransferFrom; unusual ERC20/reentrant token behavior or fee-on-transfer can desync escrow assumptions","Bridge accounting / token compatibility","Code comment says not compatible with fee-on-transfer tokens"
Fuel ERC20 Gateway V4,finalizeWithdrawal,"double-finalization or forged sender would drain escrow if portal/messageSender validation fails","Bridge finalization / replay","Checks onlyFromPortal and messageSender == assetIssuerId; test replayed proof and modified tokenAddress/l2BurntAmount"
Fuel ERC20 Gateway V4,_addWithdrawnAmount,"rate-limit period boundary and admin limit changes can allow unexpected withdrawal windows","Rate-limit race","Test currentPeriodEnd boundary, reduce then increase limit, disabled/uninitialized rateLimitStatus"
Mira AMM,swap,"optimistic transfer before invariant validation + optional callback can expose flash-swap/reentrancy/accounting edge cases","Callback / invariant race","reentrancy_guard present; test malicious callee, callback depositing wrong asset, callback to hook target"
Mira AMM,swap,"fee recipient transfer before reserve update can perturb balances when fee recipient is contract or same as pool participant","Accounting / callback composition","Protocol fee transfer occurs before validate_curve/update_reserves"
Mira AMM,mint,"first LP minimum liquidity minted to owner and pool balances inferred from contract balance can be manipulated by pre-sent assets","LP accounting / donation attack","Test donations before mint, asymmetric deposits, rounding to zero"
Mira AMM,burn,"rounding/proportional burn can leak dust or allow reserve drift across repeated small burns","LP accounting / resource leak","Test repeated minimal LP burns and stable pool decimal combinations"
Mira AMM,set_hook,"owner-controlled hook can grief all pool actions or add unexpected inter-contract behavior","Governance / integration risk","No interface enforcement; test hook revert, high gas, state-changing hook"
Swaylend Market,withdraw_collateral,"state is updated before oracle update/collateralization check and transfer; relies on atomic revert","State transition ordering","Test with oracle failure, stale oracle input, underflow amount > collateral"
Swaylend Market,withdraw_base,"borrow state updates/logs before oracle update and collateralization check","State transition ordering","If atomicity holds safe; fuzz reverts after market_basic/user_basic updates"
Swaylend Market,buy_collateral,"function is storage(read) but transfers collateral and relies on this_balance vs totals for reserves","Accounting / reserve lifecycle","Test repeated buys, direct donations, min_amount slippage and stale price update assumption"
Swaylend Market,absorb,"batch liquidation loop can partially process logically if account list contains duplicates or price changes are stale","Liquidation race / batch edge","Fuel tx atomic, but duplicate accounts and oracle ordering need fuzzing"
Swaylend Market,update_price_feeds + get_price_internal,"first-valid-oracle selection can be gamed if stale but valid source precedes fresher source","Oracle ordering / stale price","Test disabled flags, confidence bounds, multi-oracle order"
Swaylend Market,accrue_internal/update_base_principal,"reward snapshots may over/under accrue around zero-crossing from supplier to borrower","Reward snapshot accounting","Test principal sign changes, same-block accrue, base_min_for_rewards boundary"
Fluid BorrowOperations,open_trove,"multi-contract state updates before asset movement/minting can desync if later external call fails unexpectedly","Inter-contract state transition","Calls trove_manager, sorted_troves, active_pool, USDF mint"
Fluid BorrowOperations,internal_adjust_trove,"manual lock + many external calls can deadlock/grief if non-atomic behavior or future catch-style calls appear","Reentrancy / lock lifecycle","Test reentrant ActivePool/USDF/TroveManager mocks and revert after lock"
Fluid BorrowOperations,close_trove,"lock_close_trove and repay/burn/send collateral sequence may mishandle excess USDF or fail after trove closed","Resource lifecycle","Test overpay, exact pay, bad asset id, active_pool send failure"
Fluid ProtocolManager,redeem_collateral,"multi-asset redemption loop uses hints and sorted list traversal; stale hints can cancel/under-redeem or skew fees","Deferred loop / ordered-list race","Test max_iterations, partial hint invalidity, changing CR ordering"
Fluid ProtocolManager,register_asset,"one admin call fans out to many contracts; partial registration assumptions create inconsistent asset enablement risk","Governance / cross-contract init","Fuel atomicity should revert all, but migration scripts must verify every target"
Fluid StabilityPool,provide_to_stability_pool,"payout of prior gains before snapshot update may be exploitable around liquidation/issuance boundaries","Reward snapshot race","Test deposit immediately before/after offset and FPT issuance"
Fluid StabilityPool,withdraw_from_stability_pool,"withdraw blocked when undercollateralized troves exist; griefing/liveness risk if stale oracle/list state says unsafe","Liveness / liquidation coupling","Test require_no_undercollateralized_troves across assets"
Fluid StabilityPool,update_reward_sum_and_product,"epoch/scale product math can lose precision or zero product under extreme liquidation","Reward math / precision","Test large debt_to_offset, small deposits, SCALE_FACTOR boundary"
Fluid SortedTroves,re_insert/internal_insert,"linked-list corruption or expensive traversal via stale hints","Ordered data structure / DoS","Test invalid prev/next, duplicate IDs, head/tail removal, long list gas"
Fluid USDF Token,mint/burn,"authorized minters/trove managers and total_supply changes can desync if caller restrictions are wrong","Mint authority / supply accounting","Test only registered trove manager can mint; burn asset_id/sub_id mismatch"
V12 Orderbook,matcher execution,"off-chain matcher/indexer can act on stale order state or race cancel/fill ordering","Async off-chain race","No local source in this pass; docs state off-chain matcher + indexer"
Governance/Proxy,proxy target update,"proxy target/owner changes can break storage layout or redirect bridge/Fluid calls","Upgradeable governance","Audit proxy ownership, target code hash, timelock/multisig delays"
