Bug ID,Scenario,Contract(s),Verification status,Expected outcome,Actual outcome,Risk after verification,Impact,Reproducibility,NonObviousness,POC description,Blocking reason
TC-005,L2 withdraw double finalize,Fuel L2 Bridge + FuelERC20GatewayV4,Not reproduced / Guarded by source,One L2 withdrawal can be finalized once only,"Portal has AlreadyRelayed marker and nonReentrant; gateway has onlyFromPortal and messageSender == assetIssuerId",P1 watchlist,"Critical if bypassed; no bypass observed",Medium,High,"Replay same withdrawal proof twice; bug only if second relay transfers escrow","No proof tooling and source guards indicate safe path"
TC-001,Replay L1->L2 deposit message,FuelERC20GatewayV4 + L2 bridge asset contract,Not reproduced / Guarded by VM + source,Same input message cannot mint twice,"process_message checks sender and uses reentrancy guard; replay expected to be blocked by Fuel message UTXO lifecycle",P1 watchlist,"Critical if duplicate mint possible; no bypass observed",Medium-high,High,"Spend same message input twice or twice in one multicall","No Fuel transaction harness/toolchain"
TC-002,DepositWithData receiver reentrancy,Fuel L2 Bridge + malicious receiver,Not reproduced / existing test indicates guarded,Receiver reentry reverts,"reentrancy_guard present; upstream rejects_reentrancy_attempts test expects revert",P1 guarded,"Critical only if guard bypassed",High,Medium-high,"Extend malicious receiver to call process_message claim_refund withdraw","forc unavailable to rerun/extend tests"
TC-009,Mira flash swap wrong-asset repayment,Mira AMM,Not reproduced / likely guarded by invariant,Wrong repayment reverts,"swap validates curve after callback; existing tests cover invariant violation",P2,"High if invariant bypassed; not observed",High,Medium,"Malicious callee repays wrong asset and checks reserve drift","forc unavailable"
TC-015,Buy collateral stale oracle,Swaylend Market,Inconclusive,Fresh intended price used for buy_collateral,"buy_collateral does not update price; get_price_internal returns first valid oracle",P1,"High if stale price enables underpriced collateral",Medium,High,"Two oracle mocks with divergent freshness/order then absorb+buy","Needs oracle mocks and local harness"
TC-014,Absorb duplicate account,Swaylend Market,Not reproduced / likely full revert,Duplicate account rejected or idempotent,"absorb_internal requires liquidatable; second duplicate should fail after first state update and revert tx",P2,"High only if partial state persists; likely low",High,Medium,"Call absorb([borrower, borrower]) and inspect state after revert","forc unavailable"
TC-020,Deposit-before-liquidation reward capture,Fluid StabilityPool,Inconclusive,Late depositor cannot capture prior-risk gains,"Snapshot and offset math needs numeric execution",P1,"High if reward capture exceeds intended share",Medium-high,High,"Two depositors; second deposits before liquidation; compare gains","Needs local Fluid harness"
TC-018,Stale hint adjust_trove,Fluid BorrowOperations + SortedTroves,Not reproduced / correction path found,Stale hints corrected or rejected,"internal_insert validates position and calls internal_find_insert_position",P2,"High only if corruption/DoS measurable",High,Medium,"Use stale hints then validate prev/next ordering and traversal gas","forc unavailable"
TC-024,Cancel-fill race,V12 Orderbook,Not verifiable,Cancel/fill mutually exclusive,"No exact V12 source/ABI/deployment mapping in workspace",P1 discovery,"High if order filled after cancel",Unknown,High,"Simulate stale matcher fill after cancel","Missing source and contract mapping"
TC-025,Double matcher fill,V12 Orderbook,Not verifiable,Filled amount cannot exceed order size,"No exact V12 source/ABI/deployment mapping in workspace",P1 discovery,"High if overfill/double settlement",Unknown,High,"Submit two stale fills against same order","Missing source and contract mapping"
TC-003,DepositWithData receiver revert,Fuel L2 Bridge + reverting receiver,Inconclusive / source TODO,Failed receiver cannot leave stuck minted funds,"_process_deposit mints then calls receiver; TODO flags possible stuck funds if call fails",P1,"High if resources stuck or message consumed with minted state",High,Medium,"Receiver reverts after receiving coins; inspect total supply balances and message status","forc unavailable"
TC-021,Epoch/scale boundary liquidation,Fluid StabilityPool,Inconclusive,Reward math matches reference across epoch/scale,"Complex P/S/G epoch/scale math needs numeric test",P1,"High if precision reallocates rewards",Medium,High,"Construct offset crossing scale boundary and compare exact reference math","Needs local Fluid harness"
TC-013,Multicall withdraw_base then supply_base,Swaylend Market,Inconclusive,Reward/principal accounting stable across sign crossing,"withdraw_base and supply_base accrue/update principal; specific reward manipulation not executed",P1/P2,"Medium-high depending on numeric reward drift",Medium-high,Medium,"One-tx withdraw then supply and compare rewards vs separate txs","forc unavailable"
TC-016,First-valid stale oracle,Swaylend Market,Inconclusive,Stale feed rejected or fresher feed used,"get_price_internal breaks on first valid price",P1,"High if stale feed can dominate fresher feed",Medium,High,"Pyth/Stork mocks with divergent timestamps and reordered configs","Needs oracle mocks and local harness"
TC-006,Fee-on-transfer ERC20 deposit,FuelERC20GatewayV4,Source-confirmed compatibility risk not live reproduced,Bridge mints actual received amount only,"_deposit sends message for l2MintedAmount and later safeTransferFrom(amount); source says not compatible with fee-on-transfer tokens",P1 if token accepted,"High if fee token whitelisted; otherwise known limitation",High,Low-medium,"Deposit fee-on-transfer ERC20 locally; compare gateway received vs L2 minted","No local L1 bridge harness"
TC-019,Partial redemption cancellation,Fluid ProtocolManager,Inconclusive,Partial redemption preserves accounting,"Multi-asset redemption with hints not executed",P1,"High if USDF burn/collateral draw drifts",Medium,High,"Multi-asset redemption with stale partial hints and accounting diff","Needs local Fluid harness"
