Rank,ID,Scenario,Contracts,Impact,Reproducibility,NonObviousness,FuelSpecificComplexity,Priority,Top10,Rationale
1,TC-005,L2 withdraw double finalize,Fuel L2 Bridge + FuelERC20GatewayV4,5,4,4,5,P0,yes,"If withdrawal message can be finalized twice or sender/domain can be forged, L1 escrow can be drained."
2,TC-001,Replay L1->L2 deposit message,FuelERC20GatewayV4 + L2 asset bridge,5,4,4,5,P0,yes,"Duplicate process_message would mint bridged asset more than once from one L1 deposit."
3,TC-002,DepositWithData receiver reentrancy,Fuel L2 Bridge + malicious receiver,5,4,5,5,P0,yes,"Mint/transfer/callback async bridge path can expose reentrant message/resource lifecycle bugs."
4,TC-009,Mira flash swap wrong-asset repayment,Mira AMM,4,5,4,4,P1,yes,"Optimistic transfer before invariant validation plus callback can expose AMM invariant bypass."
5,TC-015,Buy collateral stale oracle,Swaylend Market,4,4,4,4,P1,yes,"Stale oracle ordering in liquidation buy path can create collateral value extraction."
6,TC-014,Absorb duplicate account,Swaylend Market,4,4,4,3,P1,yes,"Duplicate batch liquidation input can break idempotency and reserve/reward accounting."
7,TC-020,Deposit-before-liquidation reward capture,Fluid StabilityPool,4,4,4,3,P1,yes,"Snapshot timing around offset can let a late depositor capture disproportionate liquidation gains."
8,TC-018,Stale hint adjust_trove,Fluid BorrowOperations + SortedTroves,4,4,4,3,P1,yes,"Stale sorted-list hints can corrupt ordering or create DoS in redemption/liquidation paths."
9,TC-024,Cancel-fill race,V12 Orderbook,4,3,5,5,P1,yes,"Off-chain matcher can act on stale cancel/fill state if settlement is not atomic."
10,TC-025,Double matcher fill,V12 Orderbook,4,3,5,5,P1,yes,"Competing stale fills can overfill or double-settle an order."
11,TC-003,DepositWithData receiver revert,Fuel L2 Bridge + reverting receiver,4,4,4,5,P1,no,"Receiver failure after mint/transfer can lock resources or desynchronize bridge accounting."
12,TC-021,Epoch/scale boundary liquidation,Fluid StabilityPool,4,3,4,3,P1,no,"Precision and snapshot math around epoch/scale can misallocate rewards."
13,TC-013,Multicall withdraw_base then supply_base,Swaylend Market,4,4,3,3,P1,no,"Principal sign crossing inside one call sequence can manipulate rewards/accounting."
14,TC-016,First-valid stale oracle,Swaylend Market,4,3,4,3,P1,no,"First-valid feed selection can accept stale-but-valid price if ordering is gameable."
15,TC-006,Fee-on-transfer ERC20 deposit,FuelERC20GatewayV4,4,5,3,4,P1,no,"Gateway deposit amount may not match actual received ERC20 amount for fee-on-transfer tokens."
16,TC-019,Partial redemption cancellation,Fluid ProtocolManager,4,3,4,3,P1,no,"Multi-asset redemption cancellation can cause accounting drift."
17,TC-008,Donation before first LP mint,Mira AMM,3,5,3,3,P2,no,"Pre-mint donation/reserve skew can distort first LP accounting."
18,TC-004,Overflow refund aggregation,Fuel L2 Bridge,4,2,4,5,P2,no,"Refund aggregation edge requires precise path and values but could be high impact."
19,TC-017,Concurrent liquidation MEV,Swaylend Market,4,3,3,3,P2,no,"Race likely high value but may be expected market behavior."
20,TC-011,Repeated tiny mint/burn dust drift,Mira AMM,3,5,3,3,P2,no,"Dust drift is stable to test but likely capped by fees/rounding."
21,TC-012,Hook grief and reentry,Mira AMM,3,4,3,4,P2,no,"Hook surface is important but owner-controlled design lowers bounty value."
22,TC-007,Withdrawal rate-limit boundary,FuelERC20GatewayV4,3,3,3,4,P2,no,"Depends on live limit configuration and admin timing."
23,TC-010,Fee recipient equals swap receiver,Mira AMM,3,4,3,3,P2,no,"Could perturb accounting but likely medium severity."
24,TC-022,Close trove excess USDF refund,Fluid BorrowOperations,3,4,3,3,P2,no,"Resource lifecycle issue likely scoped to one trove."
25,TC-023,Register asset fan-out consistency,Fluid ProtocolManager,3,3,3,3,P3,no,"Governance initialization risk, highest value only if partial commit or auth bug exists."
