Contract name,Type,Contract address,Active tx volume,Functions,Upgradeable,Resource usage,Notes
FuelL2BridgeId,Bridge/L2 asset bridge,0x4ea6ccef1215d9479f1024dff70fc055ca538215d2c8c348beddffd54583d0e8,"0/1000 in latest sampled block","SRC-8/native bridge asset metadata and bridged asset handling","Fuel contract code immutable; bridge system has L1 upgrade surface","bytecode_hex_chars=25730; has contract balances","Official Fuel verified contract; all verified bridged assets point to this contractId"
FuelMessagePortal,L1 bridge portal,0xAEB0c00D0125A8a788956ade4f4F12Ead9f65DDf,"Not covered by Fuel L2 sample","deposit/withdraw message portal on Ethereum","Likely proxy/admin governed on Ethereum; verify Etherscan before audit","L1 Solidity deployment artifact available","Official Fuel bridge L1 contract"
FuelERC20GatewayV4,L1 ERC20 gateway,0xa4cA04d02bfdC3A2DF56B9b6994520E69dF43F67,"Not covered by Fuel L2 sample","ERC20 deposit/withdraw gateway","Likely proxy/admin governed on Ethereum; verify Etherscan before audit","L1 Solidity deployment artifact available","Official Fuel bridge L1 contract"
Mira AMM,DEX/AMM,0x2e40f2b244b98ed6b8204b3de0156c6961f98525c8162f80162fcf53eebd90e7,"0/1000 in latest sampled block","create_pool; mint; burn; swap; set_hook; set_protocol_fees; transfer_ownership; SRC20 metadata","README states core contract is immutable; owner/admin functions exist for fees/hook","large singleton AMM bytecode; many pool balances","Use periphery scripts for normal swap/add/remove liquidity; singleton pool state makes it high-value"
Swaylend USDC Market Proxy,Lending,0x657ab45a6eb98a4893a99fd104347179151e8b3828fd8f2a108cc09770d1ebae,"0/1000 in latest sampled block","supply_base; withdraw_base; supply_collateral; withdraw_collateral; absorb; buy_collateral; pause; update_market_configuration; oracle updates","Upgradeable through proxy/implementation split; implementation also published","bytecode_hex_chars=27666; has balances","Compound V3-like market rewritten in Sway; liquidation/oracle/admin surface is primary bug target"
Swaylend USDC Market Implementation,Lending implementation,0x8748488e127dccd6f2cf2a536bf248b2f807028e32e3b845d77233ead1ce242c,"0/1000 in latest sampled block","Implementation behind proxy","Yes via proxy pointer, not by mutating code","bytecode_hex_chars=226 in RPC view","Audit proxy dispatch and storage layout"
Fluid Protocol USDF,Stablecoin/CDP,0x33a6d90877f12c7954cca6d65587c25e9214c7bed2231c188981c7114c1bdb78,"0/1000 in latest sampled block","USDF mint/burn via protocol contracts; trove lifecycle in borrow/trove manager","Docs/repo include proxy-contract and implementation ids; treat as upgradeable until proxy ownership checked","Asset id, not necessarily contract id in GraphQL","Liquity-style protocol with redemptions, liquidations, sorted troves and pools"
Pyth,Fuel oracle,0x1c86fdd9e0e7bc0d2ae1bf6817ef4834ffa7247655701ee1b031b52a24c523da,"0/1000 in latest sampled block","price update/read APIs","Oracle contract upgrade status not established from public docs","bytecode_hex_chars=290 in RPC view","Critical dependency for Swaylend and other DeFi"
Stork,Fuel oracle,0x9c118ae13927dd51ba59c0370dc8c272a3b64ccd675950750c8840a649c81149,"0/1000 in latest sampled block","Stork price feed API","Upgrade status not established from public docs","bytecode_hex_chars=27666; has ETH balance","Oracle dependency; verify publisher/signature validation"
The Rig Liquid Staking,Liquid staking/vault,0x2181f1b8e00756672515807cab7de10c70a9b472a4a9b1b6ca921435b0a1f49b,"0/1000 in latest sampled block","stFUEL mint/redeem/staking flows","Fuel contract immutable unless protocol uses migration contract","bytecode_hex_chars=27874; stFUEL asset contractId in verified-assets","Official verified Fuel mainnet contract"
L2 Staking,Staking/governance-adjacent,0x095faac82412324c60fdf6934405b5df9de49982284779536218d16d5ee3dc4c,"0/1000 in latest sampled block","stake/unstake/reward accounting","Fuel contract immutable unless protocol uses migration contract","bytecode_hex_chars=27874","Official verified Fuel mainnet contract"
V12 Order Book,DEX/CLOB,pending public contract id,"Not measured","place/cancel/match orders; matcher execution; indexer events","Unknown from public docs","Async/off-chain matcher + indexer dependency","Docs describe on-chain order book and off-chain matcher; contract id not found in public docs during this pass"
Unlabeled hot contract A,Unknown/high activity,0x02c7b1edf72ac8135d21da3eb27205432ca09c88968a65eb6eb165b48e842368,"999/1000 in latest sampled block","Unknown ABI","Unknown","bytecode_hex_chars=20178","Highest hot spot in sampled block; needs explorer label/source identification"
Unlabeled hot contract B,Unknown/high activity,0x132ab8709aff3d228bbb07af7d2338d1e4f1fcb060135922495147849dd6b8fc,"383/1000 in latest sampled block","Unknown ABI","Unknown","bytecode_hex_chars=22610; balances present","Repeated salt with other hot contracts suggests same template/factory"
Unlabeled hot contract C,Unknown/high activity,0xe749999a6a5190a2e8a53582f508a2ab1c9ba378d37b69dd9d5a3fc95ff15f3a,"249/1000 in latest sampled block","Unknown ABI","Unknown","bytecode_hex_chars=63922; balances present","Large bytecode; strong audit candidate"
